Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429334,61664910393.24955,0.5010881990728173
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102591,15081376466.559593,0.8779812271613102
PolynomialRegression,82894.44754893737,10604968576.361347,0.9141984649378844
SGDRegressor,1.0652743934942584e+18,1.1566591475784307e+36,-9.358172981962636e+24
ANN,199166.11998977122,61454484234.37886,0.502790692325704
RandomForest,98482.45074793253,14956484532.266539,0.8789916893425096
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
